Weekday,StartTime,EndTime,Subject,AulaID
Segunda,13:15,14:15,LETRAMENTO,11
Segunda,14:15,15:15,INGLÊS,12
Segunda,15:45,16:45,LETRAMENTO MATEMÁTICO,13
Segunda,16:45,17:45,CONHECIMENTO DE MUNDO,14
Terça,13:15,14:15,IMAGEM E ARTE,11
Terça,14:15,15:15,SENTIDO RELIGIOSO,12
Terça,15:45,16:45,INGLÊS,13
Terça,16:45,17:45,LETRAMENTO,14
Quarta,13:15,14:15,CONHECIMENTO DE MUNDO,11
Quarta,14:15,15:15,LETRAMENTO,12
Quarta,15:45,16:45,LETRAMENTO MATEMÁTICO,13
Quarta,16:45,17:45,INGLÊS,14
Quinta,13:15,14:15,INGLÊS,11
Quinta,14:15,15:15,LETRAMENTO MATEMÁTICO,12
Quinta,15:45,16:45,MUSICALIDADE,13
Quinta,16:45,17:45,LETRAMENTO,14
Sexta,13:15,14:15,LETRAMENTO MATEMÁTICO,11
Sexta,14:15,15:15,INGLÊS,12
Sexta,15:45,16:45,MOVIMENTO E CORPOREIDADE,13
Sexta,16:45,17:45,BRINCAR,14
